2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\battleplot.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester battleplot.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\bluegeneral.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester bluegeneral.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\genbalance.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester genbalance.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\genconmax.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester genconmax.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\genconmin.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester genconmin.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\gendisarray.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester gendisarray.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\genfleehelp.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester genfleehelp.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\lancauto.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester lancauto.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\lanchester.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester lanchester.m
2003.11.01 21:43 B c:\documents and settings\default\desktop\research\lanchester\redgeneral.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester redgeneral.m
2004.02.04 15:21 B c:\documents and settings\default\desktop\Research\lanchester\lanc.jpg --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester lanc.jpg
2004.02.04 15:21 B c:\documents and settings\default\desktop\Research\lanchester\lancauto.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester lancauto.m
2004.02.04 15:21 B c:\documents and settings\default\desktop\Research\lanchester\lancex.jpg --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester lancex.jpg
2004.02.04 15:21 B c:\documents and settings\default\desktop\Research\lanchester\lanchester.m --> blue.engin.umich.edu /afs/engin.umich.edu/u/r/a/raov/research/lanchester lanchester.m
2004.03.31 23:12 B C:\Documents and Settings\All Users\Desktop\research\lanchester\WS_FTP.LOG <-- michigan /afs/engin.umich.edu/u/r/a/raov/research/lanchester WS_FTP.LOG
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\battleplot.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester battleplot.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\bluegeneral.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester bluegeneral.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\genbalance.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester genbalance.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\genconmax.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester genconmax.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\genconmin.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester genconmin.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\gendisarray.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester gendisarray.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\genfleehelp.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester genfleehelp.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\lanc.jpg --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester lanc.jpg
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\lancauto.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester lancauto.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\lancex.jpg --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester lancex.jpg
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\lanchester.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester lanchester.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\redgeneral.m --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester redgeneral.m
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\Thumbs.db --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester Thumbs.db
2004.12.14 12:58 B C:\Documents and Settings\All Users\Desktop\research\lanchester\WS_FTP.LOG --> www.mae.cornell.edu /Control/Guru/backup/research/lanchester WS_FTP.LOG
